name,original_name,nationalities,painting_schools,art_movements,birth_date,death_date
marianne stokes,Marianne Preindlsberger,austrian,skagen painters,impressionism;art nouveau,0001-01-01,0001-01-01
teodor axentowicz,Teodor Axentowicz,polish;armenian,,art nouveau;realism,1859-05-13,1938-08-26
theophile steinlen,Théophile Alexandre Steinlen,french;swiss,,art nouveau,1859-11-10,1923-12-13
alphonse mucha,Alfons Maria Mucha,czech,,art nouveau,1860-07-24,1939-07-14
louis wain,Louis Wain,british,,art nouveau;outsider art,1860-08-05,1939-07-04
antonio de la gandara,Antonio de La Gándara,french,,impressionism;art nouveau,1861-12-16,1917-06-30
aladar korosfoi kriesch,Aladár Körösfői-Kriesch,hungarian,godollo art colony,art nouveau,0001-01-01,0001-01-01
jessie willcox smith,Jessie Willcox Smith,american,brandywine school,romanticism;impressionism;art nouveau,1863-09-06,1935-05-03
artus scheiner,Artur Scheiner,czech,,secession;art nouveau,1863-10-28,1938-12-20
alfred roller,Alfred Roller,austrian,vienna secession,secession;art nouveau,1864-10-02,1935-06-21
margaret macdonald,Margaret Macdonald,british;scottish,glasgow school,art nouveau,1864-11-05,1933-01-07
anna katarina boberg,Anna Katarina Boberg,swedish,,art nouveau,1864-12-03,1935-01-27
otto eckmann,Otto Eckmann,german,,art nouveau,1865-11-19,1902-06-11
leon bakst,Лейб-Хаим Израилевич Розенберг,russian;jewish,mir iskusstva,art nouveau,1866-05-10,1924-12-28
beatrix potter,Helen Beatrix Potter,british,,art nouveau,1866-07-28,1943-12-22
thomas theodor heine,Thomas Theodor Heine,german,,art nouveau,1867-02-28,1948-01-26
sergey solomko,Сергей Соломко,russian,,art nouveau,1867-08-10,1928-02-02
arthur rackham,Arthur Rackham,british,,art nouveau,1867-09-19,1939-09-06
max kurzweil,Maximilian Franz Viktor Zdenko Marie Kurzweil,austrian,vienna secession,art nouveau;expressionism,1867-10-12,1916-05-09
fujishima takeji,藤島 武二,japanese,,impressionism;romanticism;art nouveau;showa period,0001-01-01,0001-01-01
stefan luchian,Ștefan Luchian,romanian,,impressionism;art nouveau,1868-02-01,1917-06-28
koloman moser,Koloman Moser,austrian,vienna secession,art nouveau,1868-03-30,1918-10-18
filipp malyavin,Филипп Малявин,russian,peredvizhniki,art nouveau,1869-10-22,1940-12-23
alexandre benois,Александр Бенуа,russian,mir iskusstva,art nouveau,0001-01-01,0001-01-01
michel simonidy,Michel Simonidy (Mihail Simonidi),french;romanian,,art nouveau,0001-01-01,0001-01-01
charles robinson,Charles Robinson,british,,art nouveau,0001-01-01,0001-01-01
fritz rehm,Fritz Rehm,german,,art nouveau,0001-01-01,0001-01-01
anna ostroumova lebedeva,Анна Остроумова-Лебедева,russian,mir iskusstva;four arts,art nouveau,1871-05-17,1955-05-05
marsden hartley,Marsden Hartley,american,stieglitz group,abstract art;regionalism,1877-01-04,1943-09-02
alfred heber hutty,Alfred Heber Hutty,american,,regionalism,1877-09-15,0001-01-01
rockwell kent,Rockwell Kent,american,,modernism;regionalism,1882-06-21,1971-03-13
thomas hart benton,Thomas Hart Benton,american,,regionalism;synchromism,1889-04-15,1975-01-19
grace albee,Grace Thurston Arnold Albee,american,,regionalism,1890-07-28,1985-07-26
grant wood,Grant DeVolson Wood,american,,regionalism,1891-02-13,1942-02-12
norman rockwell,Norman Rockwell,american,,regionalism,1894-02-03,1978-11-08
john steuart curry,John Steuart Curry,american,,regionalism,1897-11-14,1946-08-29
haddon sundblom,Haddon Hubbard Sundblom,american,,kitsch;regionalism,1899-06-22,1976-03-10
jean paul lemieux,Jean Paul Lemieux,canadian,,expressionism;regionalism,1904-11-18,1990-12-07
andrew wyeth,Andrew Newell Wyeth,american,,regionalism;contemporary realism,1917-07-12,2009-01-16
ivan mestrovic,Ivan Meštrović,croatian,,impressionism;secession,1883-08-15,1962-01-16
ivan vladimirov,Иван Владимиров,russian,akhrr;peredvizhniki,realism;socialist realism,1869-11-29,1947-12-14
wojciech weiss,Wojciech Weiss,polish,vienna secession,young poland;art nouveau;socialist realism,1875-05-04,1950-12-07
eugene lanceray,Евгений Евгеньевич Лансере,russian,mir iskusstva,art nouveau;socialist realism,1875-09-04,1946-09-13
fedir krychevsky,Федір Кричевський,ukrainian,akhku,art nouveau;socialist realism,1879-05-10,1947-07-30
karpo trokhymenko,Карпо Трохименко,ukrainian,akhku;kyiv drawing school of murashko,socialist realism;realism,1885-10-13,1979-10-01
david kakabadze,დავით კაკაბაძე,georgian,,realism;cubism;abstract art;avant garde;socialist realism,1889-08-08,1952-05-10
